CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Sao Tome and Principe,STP,1964,88.19
Saudi Arabia,SAU,1964,12.11
Senegal,SEN,1964,76.87
Seychelles,SYC,1964,345.78
Sierra Leone,SLE,1964,38.18
Singapore,SGP,1964,388.12
Solomon Islands,SLB,1964,32.42
Somalia,SOM,1964,62.41
South Africa,ZAF,1964,41.14
Spain,ESP,1964,47.48
Sri Lanka,LKA,1964,55.22
St. Kitts and Nevis,KNA,1964,265.09
St. Lucia,LCA,1964,289.46
St. Vincent and the Grenadines,VCT,1964,82.31
Sudan,SDN,1964,28.74
Suriname,SUR,1964,46.62
Swaziland,SWZ,1964,24.47
Sweden,SWE,1964,107.91
Switzerland,CHE,1964,119.19
Syrian Arab Republic,SYR,1964,24.59
Tanzania,TZA,1964,30.85
Thailand,THA,1964,23.71
Timor-Leste,TMP,1964,39.54
Togo,TGO,1964,39.81
Tonga,TON,1964,138.89
Trinidad and Tobago,TTO,1964,208.2
Tunisia,TUN,1964,36.08
Turkey,TUR,1964,35.33
Tuvalu,TUV,1964,115.29
Uganda,UGA,1964,42.75
United Arab Emirates,ARE,1964,1.03
United Kingdom,GBR,1964,69.02
United States,USA,1964,44.1
Uruguay,URY,1964,35.06
Vanuatu,VUT,1964,79.87
"Venezuela, RB",VEN,1964,40.47
Vietnam,VNM,1964,21.75
West Bank and Gaza,WBG,1964,36.4
"Yemen, Rep.",YEM,1964,33.07
Zambia,ZMB,1964,29.18
Zimbabwe,ZWE,1964,57.86
Afghanistan,AFG,1965,75.72
Albania,ALB,1965,43.43
Algeria,DZA,1965,54.02
American Samoa,ASM,1965,58.51
Angola,AGO,1965,47.11
Antigua and Barbuda,ATG,1965,160.77
Argentina,ARG,1965,28.07
Armenia,ARM,1965,71
Australia,AUS,1965,28.92
Austria,AUT,1965,65.42
Azerbaijan,AZE,1965,62.4
"Bahamas, The",BHS,1965,46.19
Bahrain,BHR,1965,74.5
Bangladesh,BGD,1965,42.58
Barbados,BRB,1965,329.99
